volcano_number,volcano_name,volcano_landform,volcano_types,rock_types_major,rock_types_minor,tectonic_setting,population_5km,population_10km,population_30km,population_100km,last_known_eruption,all_eruptions,validation_warnings,scrape_error
210010,West Eifel Volcanic Field,Cluster,Volcanic field | Maar(s) | Pyroclastic cone(s),Foidite,Trachybasalt / Tephrite Basanite | Phonolite,Rift zone | Continental crust (> 25 km),94991,94991,232256,7945412,8300 BCE,8300 BCE ± 300 years - Unknown || 8740 BCE ± 150 years - Unknown,,
210020,Chaîne des Puys,Cluster,Lava dome(s) | Pyroclastic cone(s) | Maar(s),Basalt / Picro-Basalt | Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite | Trachyte / Trachydacite,Rift zone | Continental crust (> 25 km),323392,323392,427221,1577243,4040 BCE,4040 BCE ± 150 years - Unknown || 5760 BCE (?) - Unknown || 6020 BCE ± 150 years - Unknown || 6250 BCE (?) - Unknown || 6550 BCE (?) - Unknown || 7020 BCE ± 100 years - Unknown || 7740 BCE (?) - Unknown || 7840 BCE ± 200 years - Unknown,,
210030,Olot Volcanic Field,Cluster,Volcanic field | Pyroclastic cone(s),Trachybasalt / Tephrite Basanite | Basalt / Picro-Basalt,,Intraplate | Continental crust (> 25 km),33377,33377,101153,5238117,Unknown - Evidence Credible,,,
210040,Calatrava Volcanic Field,Cluster,Volcanic field | Pyroclastic cone(s) | Maar(s) | Lava dome(s),Basalt / Picro-Basalt | Foidite | Trachybasalt / Tephrite Basanite,,Intraplate | Continental crust (> 25 km),197199,197199,197199,774386,3600 BCE,3600 BCE ± 500 years - Unknown,,
211004,Colli Albani,Caldera,Caldera | Stratovolcano | Pyroclastic cone(s) | Maar(s),Foidite | Phono-tephrite /  Tephri-phonolite,Trachybasalt / Tephrite Basanite,Subduction zone | Continental crust (> 25 km),897039,897039,2962194,5330273,Unknown - Evidence Uncertain,0600 BCE - Unknown,,
211010,Campi Flegrei,Caldera,Caldera | Pyroclastic cone(s) | Tuff ring(s) | Lava dome(s),Trachyte / Trachydacite | Phonolite | Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite | Phono-tephrite /  Tephri-phonolite,Subduction zone | Continental crust (> 25 km),2234109,2234109,3006865,6019697,1538 CE,1538 Sep 29 - 1538 Oct 6 || 1198 - Unknown || 1650 BCE (?) - Unknown || 1870 BCE ± 50 years - Unknown || 2000 BCE ± 150 years - Unknown || 2040 BCE (?) - Unknown || 2080 BCE ± 75 years - Unknown || 2150 BCE ± 500 years - Unknown || 2220 BCE ± 50 years - Unknown || 2330 BCE ± 150 years - Unknown || 2440 BCE (?) - Unknown || 2500 BCE (?) - Unknown || 2580 BCE ± 50 years - Unknown || 2890 BCE ± 50 years - Unknown || 6300 BCE ± 50 years - Unknown || 6490 BCE (?) - Unknown || 6650 BCE ± 100 years - Unknown || 7590 BCE ± 50 years - Unknown || 7980 BCE ± 500 years - Unknown || 8480 BCE ± 100 years - Unknown,,
211020,Vesuvius,Composite,Stratovolcano | Caldera | Lava dome(s),Phono-tephrite /  Tephri-phonolite | Phonolite | Trachyandesite / Basaltic Trachyandesite | Trachybasalt / Tephrite Basanite | Trachyte / Trachydacite,,Subduction zone | Continental crust (> 25 km),19162,675705,3907941,6009961,1944 CE,1913 Jul 5 - 1944 Apr 4 || 1875 Dec 18 - 1906 Apr 22 || 1874 Jan 16 ± 15 days - Unknown || 1870 Dec 16 ± 15 days - 1872 Apr 30 || 1864 Feb 10 - 1868 Nov 26 || 1855 Dec 19 - 1861 Dec 31 || 1854 Dec 14 - 1855 May 27 || 1841 Sep 20 - 1850 Feb 16 || 1835 Jan 16 ± 15 days - 1839 Jan 3 || 1824 Jul 2 - 1834 Sep 2 || 1796 Jan - 1822 Nov 16 || 1783 Aug 18 - 1794 Jul 5 || 1770 Feb 15 - 1779 Oct 4 (?) || 1764 - 1767 Oct 27 || 1744 Nov (?) - 1761 Jan 6 || 1742 - 1743 || 1732 Dec 25 - 1737 Jun 4 || 1724 Sep 4 - 1730 Apr 1 (?) || 1708 Aug 14 - 1723 Jul 8 || 1701 Jul 1 - 1707 Aug 22 || 1697 Sep 15 - 1698 Jul || 1696 Jul 31 - 1696 Aug 14 (?) || 1685 Oct 3 - 1694 Apr 29 || 1682 Aug 12 - 1682 Aug 22 || 1654 Feb 25 - 1680 Mar 28 || 1637 Jul 1 - 1652 Dec || 1631 Dec 16 - 1632 Jan 31 (?) || 1570 (in or before) - 1572 ± 1 years || 1500 - Unknown || 1347 - Unknown || 1270 - Unknown || 1150 - Unknown || 1139 Jun 1 - 1139 Jun 9 || 1073 ± 5 years - Unknown || 1049 - Unknown || 1037 Jan 27 - Unknown || 1006 Dec 31 ± 365 days - Unknown || 0999 - Unknown || 0991 - Unknown || 0968 Dec 1 ± 30 days - Unknown || 0900 ± 40 years - Unknown || 0860 ± 50 years - Unknown || 0787 Oct 15 ± 45 days - 0788 Jan 15 ± 45 days || 0685 Feb - 0685 Mar || 0536 - Unknown || 0512 Jul 8 - Unknown || 0505 Nov 9 - Unknown || 0472 Nov 5 - 0472 Nov 6 (?) || 0379 - 0395 || 0303 - Unknown || 0222 - 0235 || 0203 - Unknown || 0172 - Unknown || 0079 Oct 24 (?) - 0079 Oct 28 ± 1 days || 0217 BCE - 0216 BCE || 0600 BCE (in or before) - Unknown || 0880 BCE ± 50 years - Unknown || 1430 BCE ± 300 years - Unknown || 1550 BCE ± 75 years - Unknown || 2420 BCE ± 40 years - Unknown || 6940 BCE ± 100 years - Unknown,,
211030,Ischia,Composite,Complex | Caldera | Lava dome(s) | Tuff ring(s),Trachyte / Trachydacite | Trachyandesite / Basaltic Trachyandesite,Phonolite | Trachybasalt / Tephrite Basanite | Phono-tephrite /  Tephri-phonolite,Subduction zone | Continental crust (> 25 km),18669,20210,383661,5729354,1302 CE,1302 Jan 18 - 1302 Mar || 1290 (?) - Unknown || 0820 ± 300 years - Unknown || 0540 ± 150 years - Unknown || 0295 ± 10 years - Unknown || 0145 (?) - Unknown || 0080 ± 1 years - Unknown || 0069 - Unknown || 0040 ± 75 years - Unknown || 0006 BCE ± 20 years - Unknown || 0091 BCE - Unknown || 0200 BCE ± 200 years - Unknown || 0370 BCE ± 150 years - Unknown || 0470 BCE (?) - Unknown || 0490 BCE ± 150 years - Unknown || 0700 BCE ± 75 years - Unknown || 0930 BCE ± 150 years - Unknown || 1480 BCE ± 300 years - Unknown || 2350 BCE ± 1400 years - Unknown || 2700 BCE ± 1750 years - Unknown || 3050 BCE ± 1000 years - Unknown || 3580 BCE ± 300 years - Unknown || 3880 BCE ± 200 years - Unknown || 7550 BCE ± 2400 years - Unknown,,
211031,Palinuro,Composite,Compound | Submarine,Phonolite | Trachyte / Trachydacite | Phono-tephrite /  Tephri-phonolite,,Subduction zone | Continental crust (> 25 km),0,0,0,225314,8040 BCE,8040 BCE ± 100 years - Unknown,,
211040,Stromboli,Composite,Stratovolcano | Pyroclastic cone(s),Trachyandesite / Basaltic Trachyandesite | Andesite / Basaltic Andesite | Basalt / Picro-Basalt,Trachyte / Trachydacite | Trachybasalt / Tephrite Basanite,Subduction zone | Continental crust (> 25 km),2225,2225,3894,1347563,2026 CE,1934 Feb 2 - 2026 Mar 31 (continuing) || 1932 Jun 3 - 1932 Jun 3 || 1910 May 16 ± 15 days - 1931 Jul 16 ± 15 days || 1890 Jul 2 ± 182 days - 1907 May 29 || 1857 Jul 2 ± 182 days - 1889 Jun 26 || 1558 (in or before) - 1857 Jul 2 ± 182 days || 0950 ± 50 years - Unknown || 0550 ± 50 years - Unknown || 0250 ± 50 years - Unknown || 0150 ± 50 years - Unknown || 0050 ± 50 years - Unknown || 0050 BCE ± 50 years - Unknown || 0210 BCE ± 10 years - Unknown || 0350 BCE ± 50 years - Unknown || 4050 BCE (?) - Unknown || 4250 BCE (?) - Unknown || 4550 BCE (?) - Unknown || 4800 BCE ± 300 years - Unknown || 5050 BCE (?) - Unknown || 5550 BCE (?) - Unknown || 5800 BCE ± 300 years - Unknown || 6050 BCE (?) - Unknown,,
